Date,Open,High,Low,Close,Volume
10/18/2024,"581.10","583.97","575.25","576.47","7,694,274"
10/17/2024,"583.33","584.97","575.20","576.93","8,701,158"
10/16/2024,"581.40","582.08","574.03","576.79","11,268,380"
10/15/2024,"590.16","590.61","580.14","586.27","9,564,236"
10/14/2024,"594.22","600.10","589.96","590.42","8,251,971"
10/11/2024,"584.83","591.21","582.71","589.95","8,587,051"
10/10/2024,"587.57","590.23","582.52","583.83","7,740,449"
10/09/2024,"593.99","594.39","581.61","590.51","9,529,707"
10/08/2024,"589.69","593.56","585.97","592.89","7,857,377"
10/07/2024,"598.22","602.95","584.04","584.78","12,014,200"
10/04/2024,"583.73","596.85","581.43","595.94","14,199,790"
10/03/2024,"570.15","583.36","568.73","582.77","11,580,980"
10/02/2024,"574.86","576.00","569.34","572.81","6,524,650"
10/01/2024,"577.98","583.04","570.10","576.47","15,259,270"
09/30/2024,"567.70","574.68","564.80","572.44","12,807,210"
09/27/2024,"570.10","570.84","564.51","567.36","9,398,367"
09/26/2024,"575.73","577.40","562.35","567.84","14,400,790"
09/25/2024,"564.05","576.88","563.72","568.31","16,543,350"
09/24/2024,"566.68","567.75","554.19","563.33","12,992,960"
09/23/2024,"569.50","573.98","562.41","564.41","12,830,670"
09/20/2024,"560.00","564.50","556.30","561.35","22,066,820"
09/19/2024,"550.00","562.07","546.52","559.10","15,646,950"
09/18/2024,"537.07","544.20","533.90","537.95","10,323,540"
09/17/2024,"537.60","542.10","530.57","536.32","11,690,780"
09/16/2024,"524.54","534.10","517.40","533.28","9,527,646"
09/13/2024,"520.34","527.58","517.11","524.62","10,321,420"
09/12/2024,"517.05","526.71","515.22","525.60","11,993,340"
09/11/2024,"507.01","513.12","495.60","511.83","10,782,530"
09/10/2024,"508.16","514.18","500.03","504.79","9,899,022"
09/09/2024,"506.16","511.33","502.08","504.79","11,047,830"
09/06/2024,"521.88","524.58","498.25","500.27","14,744,520"
09/05/2024,"511.72","521.63","511.15","516.86","8,640,888"
09/04/2024,"506.07","516.59","504.07","512.74","8,335,207"
09/03/2024,"519.64","525.49","508.62","511.76","12,448,000"
08/30/2024,"521.35","523.54","515.20","521.31","9,157,541"
08/29/2024,"519.05","527.20","515.68","518.22","8,317,424"
08/28/2024,"517.68","521.09","512.45","516.78","9,106,077"
08/27/2024,"518.98","524.01","515.31","519.10","6,282,720"
08/26/2024,"527.60","528.00","514.95","521.12","9,584,002"
08/23/2024,"536.92","539.87","525.06","528.00","11,323,940"
08/22/2024,"537.00","544.23","528.59","531.93","15,708,290"
08/21/2024,"527.15","539.40","526.94","535.16","13,423,290"
08/20/2024,"528.35","531.09","525.88","526.73","7,944,391"
08/19/2024,"526.87","531.66","522.76","529.28","9,879,713"
08/16/2024,"531.90","533.66","524.66","527.42","14,776,680"
08/15/2024,"531.79","539.77","526.70","537.33","13,482,140"
08/14/2024,"528.06","534.00","523.13","526.76","11,444,190"
08/13/2024,"520.01","531.50","518.15","528.54","13,743,840"
08/12/2024,"516.86","518.02","509.10","515.95","9,767,422"
08/09/2024,"507.71","518.34","505.70","517.77","13,696,640"
08/08/2024,"497.50","509.96","494.72","509.63","16,156,840"
08/07/2024,"503.13","510.15","486.86","488.92","20,105,311"
08/06/2024,"479.00","502.56","478.65","494.09","20,954,961"
08/05/2024,"451.35","483.48","450.80","475.73","21,396,189"
08/02/2024,"489.00","501.15","476.15","488.14","24,044,660"
08/01/2024,"521.00","527.17","492.10","497.74","43,083,078"
07/31/2024,"471.02","476.50","466.75","474.83","24,285,779"
07/30/2024,"467.00","472.73","456.70","463.19","11,390,440"
07/29/2024,"469.88","473.96","465.02","465.71","11,339,630"
07/26/2024,"464.20","469.77","459.42","465.70","14,222,390"
07/25/2024,"463.26","463.55","442.65","453.41","18,240,490"
07/24/2024,"472.31","476.30","460.58","461.27","17,649,740"
07/23/2024,"489.84","495.22","487.72","488.69","9,455,527"
07/22/2024,"486.58","492.06","483.90","487.40","12,023,090"
07/19/2024,"476.06","486.71","475.71","476.79","15,149,420"
07/18/2024,"475.00","479.24","464.54","475.85","19,267,160"
07/17/2024,"479.17","479.17","459.12","461.99","28,076,600"
07/16/2024,"501.50","503.95","485.79","489.79","14,075,830"
07/15/2024,"498.63","506.68","493.37","496.16","12,539,160"
07/12/2024,"497.76","508.09","494.23","498.87","19,750,539"
07/11/2024,"530.89","535.46","508.37","512.70","16,458,250"
07/10/2024,"530.79","538.88","528.36","534.69","10,983,280"
07/09/2024,"533.75","537.48","528.19","530.00","8,769,088"
07/08/2024,"542.35","542.81","526.65","529.32","14,917,500"
07/05/2024,"511.60","540.87","511.60","539.91","21,354,090"
07/03/2024,"506.37","511.28","506.02","509.96","6,005,615"
07/02/2024,"500.76","510.50","499.45","509.50","7,739,479"
07/01/2024,"504.95","506.58","493.17","504.68","10,328,150"
06/28/2024,"517.15","521.88","503.84","504.22","15,855,140"
06/27/2024,"514.25","522.88","513.90","519.56","10,121,200"
06/26/2024,"506.65","513.81","504.68","513.12","8,882,337"
06/25/2024,"497.05","510.71","495.50","510.60","12,109,770"
06/24/2024,"499.20","507.80","494.29","498.91","13,525,280"
06/21/2024,"503.45","503.45","492.39","494.78","23,130,730"
06/20/2024,"502.00","503.67","496.77","501.70","11,801,180"
06/18/2024,"504.56","506.00","495.02","499.49","13,060,430"
06/17/2024,"501.67","510.75","496.01","506.63","11,266,600"
06/14/2024,"502.65","507.15","500.75","504.16","10,243,350"
06/13/2024,"505.71","509.36","501.36","504.10","9,954,621"
06/12/2024,"513.99","514.01","504.47","508.84","11,983,230"
06/11/2024,"500.16","507.60","498.27","507.47","9,673,715"
06/10/2024,"493.86","502.66","493.41","502.60","11,236,920"
06/07/2024,"495.91","498.91","490.17","492.96","9,380,745"
06/06/2024,"492.98","502.82","490.89","493.76","10,667,340"
06/05/2024,"484.45","496.65","483.91","495.06","15,690,480"
06/04/2024,"477.00","478.89","473.23","476.99","7,088,718"
